id,year,occup1,woj,nace,technical,math,artistic,computer,cognitive,managerial,interpersonal,individual,physical,availability,office,total_skills
634018,2014,1,12,C,0,0,1,0,0,1,1,1,0,1,0,5
638148,2014,2,14,M,0,0,0,1,0,0,0,0,0,0,0,1
630134,2014,5,06,C,0,0,0,0,0,0,0,0,0,0,0,0
616020,2014,5,16,C,0,0,0,0,0,0,1,1,0,0,0,2
619009,2014,5,22,M,0,0,0,0,0,0,0,1,0,0,0,1
619010,2014,5,22,M,0,0,0,0,0,0,0,1,0,0,0,1
639164,2014,1,22,F,0,0,0,1,0,1,0,1,0,1,0,4
637025,2014,1,22,G,0,0,0,0,0,0,1,1,0,0,0,2
630307,2014,5,12,D,0,0,0,0,0,0,0,0,0,1,0,1
601003,2014,3,02,C,0,0,0,0,0,0,0,0,0,0,0,0
643324,2014,1,30,C,0,0,0,1,0,1,0,1,0,0,0,3
628006,2014,5,02,C,0,0,0,1,0,0,1,0,0,0,0,2
634011,2014,3,12,D,0,0,0,0,0,0,1,1,0,0,0,2
634012,2014,3,12,D,0,0,0,0,0,0,1,1,0,0,0,2
634013,2014,3,12,D,0,0,0,0,0,0,1,1,0,0,0,2
634014,2014,3,12,D,0,0,0,0,0,0,1,1,0,0,0,2
634015,2014,3,12,D,0,0,0,0,0,0,1,1,0,0,0,2
638180,2014,2,18,J,0,0,0,1,0,0,1,0,0,0,0,2
642253,2014,3,04,K,0,0,0,0,0,0,1,1,0,0,0,2
642254,2014,3,04,K,0,0,0,0,0,0,1,1,0,0,0,2
645190,2014,2,28,J,0,0,0,1,0,0,1,0,0,0,0,2
646088,2014,2,14,J,0,0,0,1,0,0,1,0,0,0,0,2
630164,2014,3,14,K,0,0,0,1,0,0,1,1,0,0,0,3
630214,2014,3,14,K,0,0,0,1,0,0,1,1,0,0,0,3
637120,2014,2,30,C,0,0,1,0,1,1,1,1,0,1,0,6
637133,2014,2,30,C,0,0,1,0,1,1,1,1,0,1,0,6
622263,2014,2,16,N,0,0,0,1,0,1,0,1,0,0,0,3
601301,2014,2,02,J,0,0,0,1,0,0,0,0,0,0,0,1
612280,2014,2,12,K,0,0,0,0,1,0,1,0,0,0,0,2
618263,2014,2,04,S,0,0,0,1,0,0,0,0,0,1,0,2
639135,2014,3,02,S,0,0,0,1,0,0,1,1,0,1,0,4
619230,2014,3,24,C,0,0,0,0,1,0,1,1,0,0,0,3
604366,2014,1,24,M,0,0,0,0,0,0,0,0,0,0,0,0
622304,2014,2,14,N,0,0,1,1,0,0,1,1,0,0,0,4
622313,2014,2,14,C,0,0,0,1,1,1,1,1,0,0,0,5
626185,2014,4,32,C,0,0,1,0,1,1,1,1,0,0,0,5
625205,2014,3,10,K,0,0,0,1,0,1,1,1,0,0,0,4
643155,2014,1,24,C,0,0,1,1,0,1,1,1,0,0,0,5
